,y_pred,y_test,price
2004-07-04 13:39:59,0.0,0.0,821.5
2004-07-04 13:44:59,0.0,-1.0,821.5
2004-07-04 13:49:59,0.0,0.0,821.0
2004-07-04 13:55:00,1.0,0.0,821.0
2004-07-04 13:59:59,1.0,0.0,821.0
2004-07-04 14:04:59,1.0,0.0,821.0
2004-07-04 14:09:59,1.0,0.0,821.0
2004-07-04 14:15:00,-1.0,0.0,821.0
2004-07-04 14:19:59,-1.0,1.0,821.0
2004-07-04 14:24:59,1.0,-1.0,822.0
2004-07-04 14:29:59,1.0,1.0,821.0
2004-07-04 14:34:59,1.0,-1.0,823.0
2004-07-04 14:40:00,0.0,1.0,822.0
2004-07-04 14:44:59,0.0,0.0,822.5
2004-07-04 14:49:59,-1.0,1.0,822.5
2004-07-04 14:54:59,-1.0,1.0,823.0
2004-07-04 15:00:00,-1.0,-1.0,824.5
2004-07-04 15:04:59,0.0,-1.0,823.5
2004-07-04 15:09:59,-1.0,1.0,823.0
2004-07-04 15:14:59,-1.0,1.0,823.5
2004-07-04 15:19:59,-1.0,-1.0,824.5
2004-07-04 15:25:00,-1.0,0.0,824.0
2004-07-04 15:29:59,-1.0,-1.0,824.0
2004-07-04 15:34:59,-1.0,0.0,823.5
2004-07-04 15:39:59,-1.0,0.0,823.5
2004-07-04 15:45:00,1.0,-1.0,823.5
2004-07-04 15:49:59,1.0,0.0,823.0
2004-07-04 15:54:59,1.0,-1.0,823.0
2004-07-04 15:59:59,1.0,-1.0,822.0
2004-07-04 16:04:59,1.0,-1.0,821.5
2004-07-04 16:10:00,-1.0,0.0,821.0
2004-07-04 16:14:59,-1.0,0.0,821.0
2004-07-04 16:19:59,-1.0,1.0,821.0
2004-07-04 16:24:59,-1.0,0.0,822.0
2004-07-04 16:30:00,-1.0,1.0,822.0
2004-07-04 16:34:59,-1.0,-1.0,823.5
2004-07-04 16:39:59,1.0,1.0,823.0
2004-07-04 16:44:59,1.0,-1.0,824.5
2004-07-04 16:49:59,0.0,1.0,824.0
2004-07-04 16:55:00,0.0,0.0,824.5
2004-07-04 16:59:59,0.0,0.0,824.5
2004-07-04 17:04:59,0.0,1.0,824.5
2004-07-04 17:09:59,0.0,1.0,825.5
2004-07-04 17:15:00,0.0,0.0,826.0
2004-07-04 17:19:59,-1.0,0.0,826.0
2004-07-04 17:24:59,1.0,1.0,826.0
2004-07-04 17:29:59,-1.0,1.0,826.5
2004-07-04 17:34:59,1.0,-1.0,827.0
2004-07-04 17:40:00,1.0,1.0,826.0
2004-07-04 17:44:59,-1.0,1.0,826.5
2004-07-04 17:49:59,0.0,-1.0,828.0
2004-07-04 17:54:59,0.0,0.0,827.0
2004-07-04 18:00:00,0.0,1.0,827.0
2004-07-04 18:04:59,1.0,-1.0,827.5
2004-07-04 18:09:59,0.0,-1.0,826.8
2004-07-08 00:59:59,-1.0,0.0,826.5
2004-07-08 01:04:59,0.0,0.0,826.5
2004-07-08 01:10:00,0.0,0.0,826.5
2004-07-08 01:14:59,-1.0,0.0,826.5
2004-07-08 01:19:59,-1.0,0.0,826.5
2004-07-08 01:24:59,1.0,0.0,826.5
2004-07-08 01:30:00,0.0,0.0,826.5
2004-07-08 01:34:59,1.0,0.0,826.5
2004-07-08 01:39:59,0.0,0.0,826.5
2004-07-08 01:44:59,0.0,0.0,826.5
2004-07-08 01:49:59,-1.0,0.0,826.5
2004-07-08 01:55:00,-1.0,0.0,826.5
2004-07-08 01:59:59,0.0,0.0,826.5
2004-07-08 02:04:59,0.0,0.0,826.5
2004-07-08 02:09:59,-1.0,0.0,826.5
2004-07-08 02:15:00,0.0,0.0,826.5
2004-07-08 02:19:59,-1.0,0.0,826.5
2004-07-08 02:24:59,-1.0,-1.0,826.5
2004-07-08 02:29:59,0.0,1.0,826.0
2004-07-08 02:34:59,1.0,-1.0,826.5
2004-07-08 02:40:00,0.0,0.0,826.0
2004-07-08 02:44:59,0.0,0.0,826.0
2004-07-08 02:49:59,0.0,0.0,826.0
2004-07-08 02:54:59,0.0,0.0,826.0
2004-07-08 03:00:00,0.0,0.0,826.0
2004-07-08 03:04:59,0.0,0.0,826.0
2004-07-08 03:09:59,0.0,0.0,826.0
2004-07-08 03:14:59,0.0,0.0,826.0
2004-07-08 03:19:59,0.0,0.0,826.0
2004-07-08 03:25:00,0.0,0.0,826.0
2004-07-08 03:29:59,0.0,0.0,826.0
2004-07-08 03:34:59,0.0,0.0,826.0
2004-07-08 03:39:59,-1.0,0.0,826.0
2004-07-08 03:45:00,-1.0,0.0,826.0
2004-07-08 03:49:59,-1.0,0.0,826.0
2004-07-08 03:54:59,-1.0,0.0,826.0
2004-07-08 03:59:59,-1.0,0.0,826.0
2004-07-08 04:04:59,-1.0,0.0,826.0
2004-07-08 04:10:00,1.0,0.0,826.0
2004-07-08 04:14:59,-1.0,1.0,826.0
2004-07-08 04:19:59,-1.0,0.0,826.5
2004-07-08 04:24:59,0.0,0.0,826.5
2004-07-08 04:30:00,0.0,0.0,826.5
2004-07-08 04:34:59,0.0,0.0,826.5
2004-07-08 04:39:59,-1.0,-1.0,826.5
2004-07-08 04:44:59,-1.0,0.0,826.0
2004-07-08 04:49:59,0.0,0.0,826.0
2004-07-08 04:55:00,-1.0,0.0,826.0
2004-07-08 04:59:59,0.0,0.0,826.0
2004-07-08 05:04:59,-1.0,0.0,826.0
2004-07-08 05:09:59,1.0,0.0,826.0
2004-07-08 05:15:00,1.0,-1.0,826.0
2004-07-08 05:19:59,1.0,0.0,825.5
2004-07-08 05:24:59,-1.0,0.0,825.5
2004-07-08 05:29:59,1.0,0.0,825.5
2004-07-08 05:34:59,1.0,0.0,825.5
2004-07-08 05:40:00,1.0,0.0,825.5
2004-07-08 05:44:59,1.0,0.0,825.5
2004-07-08 05:49:59,1.0,0.0,825.5
2004-07-08 05:54:59,1.0,0.0,825.5
2004-07-08 06:00:00,1.0,0.0,825.5
2004-07-08 06:04:59,1.0,0.0,825.5
2004-07-08 06:09:59,1.0,0.0,825.5
2004-07-08 06:14:59,1.0,0.0,825.5
2004-07-08 06:19:59,1.0,0.0,825.5
2004-07-08 06:25:00,1.0,1.0,825.5
2004-07-08 06:29:59,1.0,0.0,826.0
2004-07-08 06:34:59,0.0,0.0,826.0
2004-07-08 06:39:59,0.0,0.0,826.0
2004-07-08 06:45:00,0.0,0.0,826.0
2004-07-08 06:49:59,0.0,0.0,826.0
2004-07-08 06:54:59,0.0,0.0,826.0
2004-07-08 06:59:59,1.0,0.0,826.0
2004-07-08 07:04:59,1.0,0.0,826.0
2004-07-08 07:10:00,1.0,0.0,826.0
2004-07-08 07:14:59,0.0,0.0,826.0
2004-07-08 07:19:59,0.0,0.0,826.0
2004-07-08 07:24:59,1.0,0.0,826.0
2004-07-08 07:30:00,0.0,0.0,826.0
2004-07-08 07:34:59,-1.0,0.0,826.0
2004-07-08 07:39:59,-1.0,0.0,826.0
2004-07-08 07:44:59,-1.0,0.0,826.0
2004-07-08 07:49:59,-1.0,0.0,826.0
2004-07-08 07:55:00,-1.0,0.0,826.0
2004-07-08 07:59:59,0.0,0.0,826.0
2004-07-08 08:04:59,1.0,0.0,826.0
2004-07-08 08:09:59,1.0,0.0,826.0
2004-07-08 08:15:00,1.0,0.0,826.0
2004-07-08 08:19:59,0.0,0.0,826.0
2004-07-08 08:24:59,0.0,0.0,826.0
2004-07-08 08:29:59,0.0,0.0,826.0
2004-07-08 08:34:59,0.0,0.0,826.0
2004-07-08 08:40:00,0.0,0.0,826.0
2004-07-08 08:44:59,1.0,0.0,826.0
2004-07-08 08:49:59,1.0,0.0,826.0
2004-07-08 08:54:59,1.0,0.0,826.0
2004-07-08 09:00:00,1.0,0.0,826.0
2004-07-08 09:04:59,1.0,0.0,826.0
2004-07-08 09:09:59,1.0,-1.0,826.0
2004-07-08 09:14:59,-1.0,0.0,825.5
2004-07-08 09:19:59,1.0,1.0,825.5
2004-07-08 09:25:00,1.0,0.0,826.0
2004-07-08 09:29:59,1.0,1.0,826.0
2004-07-08 09:34:59,0.0,0.0,826.5
2004-07-08 09:39:59,0.0,0.0,826.5
2004-07-08 09:45:00,0.0,0.0,826.5
2004-07-08 09:49:59,0.0,0.0,826.5
2004-07-08 09:54:59,-1.0,0.0,826.5
2004-07-08 09:59:59,-1.0,0.0,826.5
2004-07-08 10:04:59,-1.0,0.0,826.5
2004-07-08 10:10:00,-1.0,-1.0,826.5
2004-07-08 10:14:59,0.0,0.0,826.0
2004-07-08 10:19:59,0.0,0.0,826.0
2004-07-08 10:24:59,0.0,0.0,826.0
2004-07-08 10:30:00,0.0,0.0,826.0
2004-07-08 10:34:59,0.0,0.0,826.0
2004-07-08 10:39:59,0.0,0.0,826.0
2004-07-08 10:44:59,0.0,0.0,826.0
2004-07-08 10:49:59,0.0,0.0,826.0
2004-07-08 10:55:00,0.0,0.0,826.0
2004-07-08 10:59:59,-1.0,0.0,826.0
2004-07-08 11:04:59,0.0,0.0,826.0
2004-07-08 11:09:59,-1.0,0.0,826.0
2004-07-08 11:15:00,-1.0,0.0,826.0
2004-07-08 11:19:59,-1.0,0.0,826.0
2004-07-08 11:24:59,0.0,-1.0,826.0
2004-07-08 11:29:59,-1.0,0.0,825.5
2004-07-08 11:34:59,-1.0,0.0,825.5
2004-07-08 11:40:00,-1.0,0.0,825.5
2004-07-08 11:44:59,0.0,0.0,825.5
2004-07-08 11:49:59,0.0,0.0,825.5
2004-07-08 11:54:59,0.0,0.0,825.5
2004-07-08 12:00:00,0.0,-1.0,825.5
2004-07-08 12:04:59,0.0,0.0,825.0
2004-07-08 12:09:59,-1.0,0.0,825.0
2004-07-08 12:14:59,-1.0,0.0,825.0
2004-07-08 12:19:59,-1.0,0.0,825.0
2004-07-08 12:25:00,1.0,1.0,825.0
2004-07-08 12:29:59,-1.0,0.0,825.5
2004-07-08 12:34:59,-1.0,0.0,825.5
2004-07-08 12:39:59,1.0,-1.0,825.5
2004-07-08 12:45:00,1.0,0.0,825.0
2004-07-08 12:49:59,0.0,0.0,825.0
2004-07-08 12:54:59,0.0,0.0,825.0
2004-07-08 12:59:59,0.0,0.0,825.0
2004-07-08 13:04:59,0.0,0.0,825.0
2004-07-08 13:10:00,0.0,0.0,825.0
2004-07-08 13:14:59,0.0,-1.0,825.0
2004-07-08 13:19:59,1.0,0.0,824.5
2004-07-08 13:24:59,1.0,1.0,824.5
2004-07-08 13:30:00,1.0,-1.0,825.0
2004-07-08 13:34:59,1.0,0.0,824.5
2004-07-08 13:39:59,1.0,0.0,824.5
2004-07-08 13:44:59,1.0,0.0,824.5
2004-07-08 13:49:59,1.0,0.0,824.5
2004-07-08 13:55:00,1.0,0.0,824.5
2004-07-08 13:59:59,1.0,0.0,824.5
2004-07-08 14:04:59,1.0,0.0,824.5
2004-07-08 14:09:59,1.0,0.0,824.5
2004-07-08 14:15:00,1.0,0.0,824.5
2004-07-08 14:19:59,1.0,1.0,824.5
2004-07-08 14:24:59,1.0,-1.0,826.0
2004-07-08 14:29:59,1.0,0.0,825.5
2004-07-08 14:34:59,1.0,1.0,825.5
2004-07-08 14:40:00,1.0,-1.0,826.0
2004-07-08 14:44:59,1.0,1.0,825.5
2004-07-08 14:49:59,1.0,1.0,826.5
2004-07-08 14:54:59,1.0,0.0,828.5
2004-07-08 15:00:00,1.0,-1.0,828.5
2004-07-08 15:04:59,1.0,-1.0,827.0
2004-07-08 15:09:59,0.0,0.0,826.5
2004-07-08 15:14:59,1.0,1.0,826.5
2004-07-08 15:19:59,0.0,0.0,827.0
2004-07-08 15:25:00,0.0,0.0,827.0
2004-07-08 15:29:59,-1.0,1.0,827.0
2004-07-08 15:34:59,-1.0,0.0,828.0
2004-07-08 15:39:59,-1.0,1.0,828.0
2004-07-08 15:45:00,-1.0,0.0,828.5
2004-07-08 15:49:59,-1.0,-1.0,828.5
2004-07-08 15:54:59,-1.0,0.0,828.0
2004-07-08 15:59:59,1.0,1.0,828.0
2004-07-08 16:04:59,1.0,1.0,828.5
2004-07-08 16:10:00,-1.0,-1.0,829.5
2004-07-08 16:14:59,-1.0,0.0,829.0
2004-07-08 16:19:59,-1.0,-1.0,829.0
2004-07-08 16:24:59,-1.0,1.0,828.5
2004-07-08 16:30:00,-1.0,1.0,829.0
2004-07-08 16:34:59,-1.0,1.0,829.5
2004-07-08 16:39:59,-1.0,1.0,830.5
2004-07-08 16:44:59,-1.0,0.0,831.0
2004-07-08 16:49:59,-1.0,-1.0,831.0
2004-07-08 16:55:00,1.0,1.0,830.0
2004-07-08 16:59:59,1.0,0.0,830.5
2004-07-08 17:04:59,1.0,0.0,830.5
2004-07-08 17:09:59,0.0,0.0,830.5
2004-07-08 17:15:00,0.0,1.0,830.5
2004-07-08 17:19:59,0.0,-1.0,831.0
2004-07-08 17:24:59,-1.0,-1.0,830.5
2004-07-08 17:29:59,-1.0,1.0,830.0
2004-07-08 17:34:59,-1.0,0.0,830.5
2004-07-08 17:40:00,0.0,-1.0,830.5
2004-07-08 17:44:59,-1.0,-1.0,830.0
2004-07-08 17:49:59,-1.0,-1.0,829.0
2004-07-08 17:54:59,-1.0,1.0,828.5
2004-07-08 18:00:00,-1.0,-1.0,829.5
2004-07-08 18:04:59,1.0,1.0,829.0
2004-07-08 18:09:59,0.0,-1.0,829.5
2004-07-08 18:14:59,1.0,0.0,829.0
2004-07-08 18:19:59,1.0,1.0,829.0
2004-07-08 18:25:00,1.0,-1.0,829.5
2004-07-08 18:29:59,1.0,0.0,829.0
2004-07-08 18:34:59,-1.0,1.0,829.0
2004-07-08 18:39:59,-1.0,0.0,829.5
2004-07-08 18:45:00,1.0,1.0,829.5
2004-07-08 18:49:59,1.0,1.0,830.0
2004-07-08 18:54:59,0.0,-1.0,831.0
2004-07-08 18:59:59,1.0,1.0,830.0
2004-07-08 19:04:59,1.0,1.0,830.5
2004-07-08 19:10:00,-1.0,1.0,831.5
2004-07-08 19:14:59,-1.0,-1.0,832.0
2004-07-08 19:19:59,-1.0,0.0,831.0
2004-07-08 19:24:59,1.0,0.0,831.0
2004-07-08 19:30:00,0.0,0.0,831.0
2004-07-08 19:34:59,0.0,0.0,831.0
2004-07-08 19:39:59,0.0,0.0,831.0
2004-07-08 19:44:59,0.0,0.0,831.0
2004-07-08 19:49:59,0.0,0.0,831.0
2004-07-08 19:55:00,0.0,0.0,831.0
2004-07-08 19:59:59,0.0,0.0,831.0
2004-07-08 20:04:59,0.0,0.0,831.0
2004-07-08 20:09:59,0.0,0.0,831.0
2004-07-08 20:15:00,0.0,0.0,831.0
2004-07-08 20:19:59,0.0,0.0,831.0
2004-07-08 20:24:59,0.0,0.0,831.0
2004-07-08 20:29:59,-1.0,0.0,831.0
2004-07-08 20:34:59,1.0,0.0,831.0
2004-07-08 20:40:00,1.0,0.0,831.0
2004-07-08 20:44:59,0.0,0.0,831.0
2004-07-08 20:49:59,1.0,0.0,831.0
2004-07-08 20:54:59,1.0,0.0,831.0
2004-07-08 21:00:00,1.0,0.0,831.0
2004-07-08 21:04:59,1.0,0.0,831.0
2004-07-08 21:09:59,0.0,-1.0,831.0
2004-07-08 21:14:59,0.0,0.0,830.5
2004-07-08 21:19:59,1.0,0.0,830.5
2004-07-08 21:25:00,1.0,-1.0,830.5
2004-07-08 21:29:59,-1.0,0.0,830.0
2004-07-08 21:34:59,0.0,0.0,830.0
2004-07-08 21:39:59,1.0,0.0,830.0
2004-07-08 21:45:00,1.0,0.0,830.0
2004-07-08 21:49:59,0.0,0.0,830.0
2004-07-08 21:54:59,-1.0,1.0,830.0
2004-07-08 21:59:59,1.0,-1.0,830.5
2004-07-08 22:04:59,1.0,1.0,829.5
2004-07-09 00:49:59,1.0,0.0,830.0
2004-07-09 00:54:59,1.0,0.0,830.0
2004-07-09 00:59:59,1.0,0.0,830.0
2004-07-09 01:04:59,-1.0,0.0,830.0
2004-07-09 01:10:00,-1.0,0.0,830.0
2004-07-09 01:14:59,1.0,0.0,830.0
2004-07-09 01:19:59,1.0,0.0,830.0
2004-07-09 01:24:59,0.0,0.0,830.0
2004-07-09 01:30:00,0.0,0.0,830.0
2004-07-09 01:34:59,0.0,0.0,830.0
2004-07-09 01:39:59,0.0,-1.0,830.0
2004-07-09 01:44:59,0.0,0.0,829.5
2004-07-09 01:49:59,-1.0,0.0,829.5
2004-07-09 01:55:00,-1.0,0.0,829.5
2004-07-09 01:59:59,-1.0,0.0,829.5
2004-07-09 02:04:59,-1.0,0.0,829.5
2004-07-09 02:09:59,1.0,1.0,829.5
2004-07-09 02:15:00,-1.0,0.0,830.5
2004-07-09 02:19:59,0.0,0.0,830.5
2004-07-09 02:24:59,0.0,0.0,830.5
2004-07-09 02:29:59,-1.0,0.0,830.5
2004-07-09 02:34:59,-1.0,-1.0,830.5
2004-07-09 02:40:00,-1.0,0.0,830.0
2004-07-09 02:44:59,-1.0,0.0,830.0
2004-07-09 02:49:59,-1.0,-1.0,830.0
2004-07-09 02:54:59,-1.0,0.0,828.5
2004-07-09 03:00:00,0.0,0.0,828.5
2004-07-09 03:04:59,0.0,0.0,828.5
2004-07-09 03:09:59,1.0,1.0,828.5
2004-07-09 03:14:59,1.0,0.0,829.5
2004-07-09 03:19:59,1.0,1.0,829.5
2004-07-09 03:25:00,1.0,0.0,830.0
2004-07-09 03:29:59,1.0,0.0,830.0
2004-07-09 03:34:59,1.0,0.0,830.0
2004-07-09 03:39:59,1.0,0.0,830.0
2004-07-09 03:45:00,1.0,0.0,830.0
2004-07-09 03:49:59,1.0,0.0,830.0
2004-07-09 03:54:59,1.0,0.0,830.0
2004-07-09 03:59:59,1.0,0.0,830.0
2004-07-09 04:04:59,1.0,-1.0,830.0
2004-07-09 04:10:00,1.0,0.0,829.5
2004-07-09 04:14:59,1.0,0.0,829.5
2004-07-09 04:19:59,1.0,0.0,829.5
2004-07-09 04:24:59,1.0,0.0,829.5
2004-07-09 04:30:00,1.0,0.0,829.5
2004-07-09 04:34:59,1.0,0.0,829.5
2004-07-09 04:39:59,1.0,0.0,829.5
2004-07-09 04:44:59,1.0,0.0,829.5
2004-07-09 04:49:59,-1.0,0.0,829.5
2004-07-09 04:55:00,-1.0,0.0,829.5
2004-07-09 04:59:59,-1.0,0.0,829.5
2004-07-09 05:04:59,-1.0,0.0,829.5
2004-07-09 05:09:59,-1.0,0.0,829.5
2004-07-09 05:15:00,-1.0,0.0,829.5
2004-07-09 05:19:59,-1.0,0.0,829.5
2004-07-09 05:24:59,-1.0,0.0,829.5
2004-07-09 05:29:59,-1.0,0.0,829.5
2004-07-09 05:34:59,-1.0,0.0,829.5
2004-07-09 05:40:00,-1.0,0.0,829.5
2004-07-09 05:44:59,-1.0,0.0,829.5
2004-07-09 05:49:59,-1.0,0.0,829.5
2004-07-09 05:54:59,-1.0,0.0,829.5
2004-07-09 06:00:00,-1.0,0.0,829.5
2004-07-09 06:04:59,-1.0,0.0,829.5
2004-07-09 06:09:59,-1.0,0.0,829.5
2004-07-09 06:14:59,-1.0,0.0,829.5
2004-07-09 06:19:59,-1.0,0.0,829.5
2004-07-09 06:25:00,-1.0,0.0,829.5
2004-07-09 06:29:59,-1.0,0.0,829.5
2004-07-09 06:34:59,-1.0,0.0,829.5
2004-07-09 06:39:59,-1.0,0.0,829.5
2004-07-09 06:45:00,-1.0,-1.0,829.5
2004-07-09 06:49:59,-1.0,0.0,829.0
2004-07-09 06:54:59,-1.0,0.0,829.0
2004-07-09 06:59:59,0.0,1.0,829.0
2004-07-09 07:04:59,0.0,0.0,829.5
2004-07-09 07:10:00,-1.0,0.0,829.5
2004-07-09 07:14:59,-1.0,0.0,829.5
2004-07-09 07:19:59,1.0,0.0,829.5
2004-07-09 07:24:59,1.0,0.0,829.5
2004-07-09 07:30:00,1.0,0.0,829.5
2004-07-09 07:34:59,1.0,0.0,829.5
2004-07-09 07:39:59,1.0,0.0,829.5
2004-07-09 07:44:59,1.0,0.0,829.5
2004-07-09 07:49:59,1.0,0.0,829.5
2004-07-09 07:55:00,1.0,0.0,829.5
2004-07-09 07:59:59,1.0,0.0,829.5
2004-07-09 08:04:59,1.0,0.0,829.5
2004-07-09 08:09:59,1.0,0.0,829.5
2004-07-09 08:15:00,1.0,0.0,829.5
2004-07-09 08:19:59,1.0,0.0,829.5
2004-07-09 08:24:59,1.0,0.0,829.5
2004-07-09 08:29:59,-1.0,0.0,829.5
2004-07-09 08:34:59,-1.0,0.0,829.5
2004-07-09 08:40:00,-1.0,0.0,829.5
2004-07-09 08:44:59,-1.0,0.0,829.5
2004-07-09 08:49:59,-1.0,0.0,829.5
2004-07-09 08:54:59,-1.0,0.0,829.5
2004-07-09 09:00:00,1.0,0.0,829.5
2004-07-09 09:04:59,1.0,0.0,829.5
2004-07-09 09:09:59,1.0,1.0,829.5
2004-07-09 09:14:59,1.0,0.0,830.0
2004-07-09 09:19:59,1.0,-1.0,830.0
2004-07-09 09:25:00,1.0,0.0,829.5
2004-07-09 09:29:59,1.0,-1.0,829.5
2004-07-09 09:34:59,-1.0,0.0,829.0
2004-07-09 09:39:59,-1.0,0.0,829.0
2004-07-09 09:45:00,-1.0,0.0,829.0
2004-07-09 09:49:59,-1.0,0.0,829.0
2004-07-09 09:54:59,-1.0,0.0,829.0
2004-07-09 09:59:59,-1.0,0.0,829.0
2004-07-09 10:04:59,-1.0,0.0,829.0
2004-07-09 10:10:00,-1.0,0.0,829.0
2004-07-09 10:14:59,-1.0,0.0,829.0
2004-07-09 10:19:59,-1.0,-1.0,829.0
2004-07-09 10:24:59,0.0,0.0,828.5
2004-07-09 10:30:00,1.0,-1.0,828.5
2004-07-09 10:34:59,1.0,0.0,828.0
2004-07-09 10:39:59,-1.0,0.0,828.0
2004-07-09 10:44:59,-1.0,0.0,828.0
2004-07-09 10:49:59,-1.0,0.0,828.0
2004-07-09 10:55:00,-1.0,0.0,828.0
2004-07-09 10:59:59,-1.0,-1.0,828.0
2004-07-09 11:04:59,-1.0,0.0,827.0
2004-07-09 11:09:59,1.0,1.0,827.0
2004-07-09 11:15:00,-1.0,-1.0,828.5
2004-07-09 11:19:59,1.0,1.0,827.5
2004-07-09 11:24:59,-1.0,0.0,829.0
2004-07-09 11:29:59,-1.0,-1.0,829.0
2004-07-09 11:34:59,-1.0,-1.0,828.5
2004-07-09 11:40:00,-1.0,0.0,828.0
2004-07-09 11:44:59,-1.0,0.0,828.0
2004-07-09 11:49:59,-1.0,1.0,828.0
2004-07-09 11:54:59,-1.0,1.0,828.5
2004-07-09 12:00:00,-1.0,-1.0,829.0
2004-07-09 12:04:59,-1.0,0.0,828.0
2004-07-09 12:09:59,-1.0,0.0,828.0
2004-07-09 12:14:59,1.0,0.0,828.0
2004-07-09 12:19:59,1.0,1.0,828.0
2004-07-09 12:25:00,0.0,0.0,828.5
2004-07-09 12:29:59,0.0,0.0,828.5
2004-07-09 12:34:59,0.0,0.0,828.5
2004-07-09 12:39:59,0.0,0.0,828.5
2004-07-09 12:45:00,-1.0,0.0,828.5
2004-07-09 12:49:59,-1.0,0.0,828.5
2004-07-09 12:54:59,-1.0,0.0,828.5
2004-07-09 12:59:59,-1.0,0.0,828.5
2004-07-09 13:04:59,-1.0,0.0,828.5
2004-07-09 13:10:00,-1.0,0.0,828.5
2004-07-09 13:14:59,-1.0,0.0,828.5
2004-07-09 13:19:59,-1.0,-1.0,828.5
2004-07-09 13:24:59,-1.0,1.0,828.0
2004-07-09 13:30:00,-1.0,0.0,828.5
2004-07-09 13:34:59,-1.0,0.0,828.5
2004-07-09 13:39:59,-1.0,0.0,828.5
2004-07-09 13:44:59,-1.0,0.0,828.5
2004-07-09 13:49:59,-1.0,-1.0,828.5
2004-07-09 13:55:00,-1.0,0.0,828.0
2004-07-09 13:59:59,-1.0,0.0,828.0
2004-07-09 14:04:59,-1.0,0.0,828.0
2004-07-09 14:09:59,-1.0,0.0,828.0
2004-07-09 14:15:00,-1.0,0.0,828.0
2004-07-09 14:19:59,-1.0,1.0,828.0
2004-07-09 14:24:59,-1.0,1.0,831.0
2004-07-09 14:29:59,-1.0,1.0,831.5
2004-07-09 14:34:59,-1.0,0.0,832.0
2004-07-09 14:40:00,0.0,1.0,832.0
2004-07-09 14:44:59,0.0,0.0,832.5
2004-07-09 14:49:59,-1.0,0.0,832.5
2004-07-09 14:54:59,-1.0,-1.0,832.5
2004-07-09 15:00:00,1.0,-1.0,832.0
2004-07-09 15:04:59,1.0,-1.0,831.5
2004-07-09 15:09:59,1.0,0.0,831.0
2004-07-09 15:14:59,1.0,1.0,831.0
2004-07-09 15:19:59,-1.0,-1.0,831.5
2004-07-09 15:25:00,-1.0,0.0,831.0
2004-07-09 15:29:59,-1.0,1.0,831.0
2004-07-09 15:34:59,0.0,1.0,831.5
2004-07-09 15:39:59,-1.0,-1.0,832.0
2004-07-09 15:45:00,0.0,1.0,831.5
2004-07-09 15:49:59,0.0,1.0,832.5
2004-07-09 15:54:59,1.0,0.0,833.5
2004-07-09 15:59:59,-1.0,0.0,833.5
2004-07-09 16:04:59,1.0,0.0,833.5
2004-07-09 16:10:00,1.0,0.0,833.5
2004-07-09 16:14:59,1.0,0.0,833.5
2004-07-09 16:19:59,1.0,1.0,833.5
2004-07-09 16:24:59,-1.0,0.0,834.0
2004-07-09 16:30:00,-1.0,-1.0,834.0
2004-07-09 16:34:59,1.0,0.0,833.5
2004-07-09 16:39:59,0.0,0.0,833.5
2004-07-09 16:44:59,1.0,0.0,833.5
2004-07-09 16:49:59,0.0,-1.0,833.5
2004-07-09 16:55:00,0.0,0.0,832.5
2004-07-09 16:59:59,-1.0,0.0,832.5
2004-07-09 17:04:59,-1.0,-1.0,832.5
2004-07-09 17:09:59,-1.0,-1.0,831.0
2004-07-09 17:15:00,-1.0,1.0,830.0
2004-07-09 17:19:59,-1.0,0.0,831.0
2004-07-09 17:24:59,-1.0,1.0,831.0
2004-07-09 17:29:59,0.0,-1.0,831.5
2004-07-09 17:34:59,0.0,0.0,831.0
2004-07-09 17:40:00,0.0,1.0,831.0
2004-07-09 17:44:59,0.0,-1.0,831.5
2004-07-09 17:49:59,0.0,-1.0,831.0
2004-07-09 17:54:59,0.0,1.0,830.0
2004-07-09 18:00:00,0.0,1.0,830.5
2004-07-09 18:04:59,0.0,0.0,831.5
2004-07-09 18:09:59,-1.0,1.0,831.5
2004-07-09 18:14:59,-1.0,0.0,833.0
2004-07-09 18:19:59,-1.0,-1.0,833.0
2004-07-09 18:25:00,-1.0,1.0,832.5
2004-07-09 18:29:59,-1.0,0.0,833.0
2004-07-09 18:34:59,-1.0,1.0,833.0
2004-07-09 18:39:59,1.0,1.0,833.5
2004-07-09 18:45:00,-1.0,1.0,834.0
2004-07-09 18:49:59,1.0,0.0,834.5
2004-07-09 18:54:59,-1.0,0.0,834.5
2004-07-09 18:59:59,1.0,-1.0,834.5
2004-07-09 19:04:59,1.0,-1.0,833.5
2004-07-09 19:10:00,1.0,-1.0,833.0
2004-07-09 19:14:59,-1.0,-1.0,832.5
2004-07-09 19:19:59,0.0,0.0,832.0
2004-07-09 19:24:59,0.0,0.0,832.0
2004-07-09 19:30:00,0.0,0.0,832.0
2004-07-09 19:34:59,0.0,0.0,832.0
2004-07-09 19:39:59,0.0,0.0,832.0
2004-07-09 19:44:59,0.0,0.0,832.0
2004-07-09 19:49:59,0.0,0.0,832.0
2004-07-09 19:55:00,0.0,0.0,832.0
2004-07-09 19:59:59,0.0,0.0,832.0
2004-07-09 20:04:59,0.0,0.0,832.0
2004-07-09 20:09:59,0.0,0.0,832.0
2004-07-09 20:15:00,0.0,0.0,832.0
2004-07-09 20:19:59,0.0,0.0,832.0
2004-07-09 20:24:59,0.0,0.0,832.0
2004-07-09 20:29:59,0.0,0.0,832.0
2004-07-09 20:34:59,0.0,0.0,832.0
